GRUP	Pat fle	Tur set	Ner pli	Tec gra	Dru ric	Mor uva	Mor gra	Mit lit	Con ebr	Con mil	Con spo	Con nan	Con ver
1	95	18	0	0	24	0	0	0	0	0	0	0	0
1	12	5	0	0	13	0	0	0	0	0	0	0	0
1	7	14	0	0	10	0	0	0	0	0	0	0	0
1	9	13	0	0	13	0	0	0	0	0	0	0	0
1	4	5	0	0	25	0	0	0	0	0	0	0	0
1	0	2	0	0	2	0	0	0	0	0	0	0	0
1	0	3	0	0	4	0	0	0	0	0	0	0	0
3	0	0	0	0	2	14	7	1	0	0	0	0	3
3	0	0	0	0	2	10	0	1	0	0	0	0	0
3	0	0	0	0	1	3	0	0	0	0	0	0	1
3	0	0	0	0	3	0	7	10	0	2	0	0	1
1	0	0	0	0	4	0	1	0	0	1	0	0	0
3	0	0	0	0	0	1	1	1	0	0	0	0	0
3	0	0	0	0	1	1	1	5	0	4	1	1	1
3	0	0	0	0	0	5	3	4	0	3	0	0	1
3	0	0	0	0	0	2	5	5	0	0	0	0	1
3	0	0	0	0	0	1	2	2	1	3	0	2	0
3	0	0	0	0	0	0	2	1	0	1	1	0	0
3	0	0	0	0	0	2	2	5	1	1	1	2	0
3	0	0	0	0	0	4	4	5	0	1	0	0	0
3	0	0	0	0	0	0	2	3	0	3	0	0	0
3	0	0	0	0	0	2	0	0	1	0	0	0	0
2	0	0	2	35	0	0	0	0	0	0	0	0	0
2	0	0	1	38	0	0	0	0	0	0	0	0	0
2	0	0	0	21	0	0	0	0	0	0	0	0	0
2	0	0	4	27	0	0	0	0	0	0	0	0	0
2	0	0	3	85	0	0	0	0	0	0	0	0	0
2	0	0	3	47	0	0	0	0	0	0	0	0	0

