Pais	Pob	PIB	Urb	Analf	Estud	Vida	Nutric	ContInd	ContVeh	SecPrim
South Africa 	37	2492	58.9	44	1.08	60	120	48	98	60
Algeria      	24.6	1960	44.7	50.4	0.73	64	112	21	71	70
Germany      	62	19610	86.4	2	2.72	72	145	585	759	44
Great Britain	57.02	14575	92.5	2.2	1.9	75	128	421	435	40.4
Saudi Arabia 	14.4	5980	77.3	48.9	0.91	63	125	34	269	67
Argentine    	32.4	2130	86.2	6.1	2.96	71	136	82	217	56
Australia    	16.81	16830	85.5	5	2.5	76	125	252	484	54
Austria      	7.61	16693	57.7	1.5	2.52	74	130	362	487	40
Belgium      	9.93	15243	96.9	3	2.56	74	150	219	320	42
Cameroon     	11	1120	49.4	58.8	0.17	53	88	6	12	67
Canada       	26.25	20780	76.4	1	6.89	77	129	321	586	49
Chile        	12.95	1794	85.6	8.9	1.73	71	106	67	183	56
China        	1119	426	21.4	34.5	0.16	69	111	36	24	51
Cuba         	10.5	1050	74.9	3.8	2.38	75	135	129	203	48
Denmark      	5.13	20570	86.4	1.5	2.38	75	131	359	526	44
Egypt        	52.52	665	48.8	61.8	1.67	59	132	39	84	65
Spain        	39.24	9650	78.4	4.2	2.55	77	137	75	380	44
France       	56.1	16905	74.1	2	2.63	76	130	193	399	44
Gabun        	1.1	3000	45.7	60	0.36	52	107	14	23	80
Greece       	10	5370	62.6	9.5	1.89	76	147	102	175	43
Hong Kong    	5.75	10900	100	22.7	1.34	77	121	521	247	40
Hungary      	10.6	2330	60.3	1.1	0.93	70	135	273	404	39
India        	810	317	28	59.2	0.55	57	100	28	7	59
Indonesia    	179	454	28.8	32.7	0.55	60	116	21	41	60
Israel       	4.47	9800	91.6	8.2	2.62	75	118	253	276	54
Italia       	57.55	15025	68.6	3.5	2.25	75	139	105	419	41
Japan        	123.2	22825	77	3	2.1	78	122	566	589	46
Kenia        	23.88	400	23.6	69	0.11	58	92	13	6	78
Marocco      	24.51	800	48.5	78.6	0.86	61	118	12	55	62
Mexico       	84.3	2096	72.6	17	1.55	68	120	124	124	65
Norway       	4.2	22060	74.4	2	2.74	77	124	551	350	43
Peru         	21.75	1899	70.2	18.1	2.04	61	93	31	85	61
Poland       	38	1740	63.2	1.2	1.3	71	134	184	263	49
Portugal     	10.5	4304	33.3	20.6	1.99	74	128	70	160	46
Sweden       	8.47	22455	84	1.5	2.21	77	113	526	395	41
Switzerland  	6.7	26025	59.6	1	1.87	77	128	504	408	45
Tailand      	55.45	1130	22.6	12	1.59	65	105	46	104	59
USSR         	289	6020	67.5	2	1.76	69	133	474	319	48
USA          	247.5	20765	74	0.5	5.01	75	138	259	812	50
Venezuela    	19.2	3220	90	15.3	2.6	69	102	164	147	65
Yugoslavia   	23.67	2599	50.2	10.4	1.44	72	139	100	179	47

