Usuario	Juegos	Cartera	Broquer	An�lisi	Noticies	Foros	Previsi�	Inversi�	Ahorro	Temps real
1	0.00	25.00	0.00	0.00	0.00	12.50	12.50	12.50	25.00	87.50
2	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
3	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
4	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
5	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
6	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
7	12.50	37.50	12.50	0.00	12.50	0.00	12.50	12.50	12.50	100.00
8	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
9	12.50	37.50	0.00	0.00	12.50	0.00	12.50	12.50	25.00	100.00
10	12.50	37.50	0.00	12.50	0.00	0.00	12.50	12.50	25.00	100.00
11	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
12	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
13	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
14	11.11	44.44	0.00	0.00	11.11	0.00	11.11	22.22	22.22	100.00
15	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
16	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
17	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
18	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	75.00
19	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
20	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
21	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
22	11.11	33.33	0.00	0.00	0.00	11.11	11.11	22.22	22.22	100.00
23	11.11	33.33	11.11	0.00	11.11	0.00	11.11	22.22	22.22	88.88
24	11.11	22.22	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
25	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
26	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
27	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
28	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
29	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
30	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
31	0.00	44.44	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
32	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
33	11.11	33.33	0.00	0.00	0.00	0.00	22.22	22.22	22.22	100.00
34	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
35	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
36	22.22	33.33	11.11	11.11	11.11	0.00	11.11	22.22	22.22	88.88
37	11.11	33.33	0.00	0.00	11.11	0.00	11.11	11.11	11.11	88.88
38	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
39	22.22	44.44	11.11	11.11	11.11	0.00	11.11	22.22	22.22	100.00
40	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	75.00
41	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
42	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
43	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	88.88
44	12.50	25.00	0.00	0.00	12.50	0.00	12.50	12.50	12.50	75.00
45	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
46	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
47	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
48	11.11	33.33	0.00	11.11	11.11	0.00	11.11	11.11	22.22	100.00
49	11.11	33.33	0.00	0.00	11.11	0.00	11.11	22.22	22.22	100.00
50	0.00	22.22	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
51	0.00	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
52	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
53	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
54	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
55	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
56	11.11	33.33	0.00	0.00	0.00	0.00	22.22	22.22	22.22	100.00
57	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
58	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
59	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	77.77
60	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
61	22.22	33.33	11.11	11.11	11.11	0.00	11.11	11.11	22.22	88.88
62	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
63	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
64	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
