Biacr    Biili    Bitro    ChestDep ChestDia Elbow  Wrist    Knee     Ankle    Age      Weight   Height  
37.6 25 31.3 16.2 24.9 11.2 9.2 17 12.3 22 51.6 161.2
36.7 26.4 31 16.8 24.5 12.1 9.9 19.3 12.8 20 59 167.5
34.8 25.9 30.2 16.4 24.2 11.3 8.9 17 12.2 19 49.2 159.5
36.6 27.9 31.8 19.3 24.9 12.3 9.5 18.6 13 25 63 157
35.5 28.2 31 18.2 26.2 11.5 9.1 17.2 12.4 21 53.6 155.8
37 28 32 15.1 25.7 12.5 10 17.2 13.2 23 59 170
35.5 26.5 29.2 15.4 24.5 12.3 9.4 17.2 12 26 47.6 159.1
37.4 30.2 33.2 18.8 26.6 13.3 10.7 19.8 13.8 22 69.8 166
37.8 29 32.6 18.6 25 12.1 9.8 17.8 12.7 28 66.8 176.2
38.6 28.8 33.2 19.7 29.4 13.4 11.5 20.9 13.2 40 75.2 160.2
37.6 28.5 32.2 15.5 24.3 11.8 8.6 17.1 11.9 32 55.2 172.5
36 25.6 31.5 15.4 25.5 12.8 9.7 17.6 13.2 25 54.2 170.9
39.5 30 31.7 17.3 27.3 12.8 9.2 18.1 12.4 25 62.5 172.9
34 25 27 16.9 22.6 10.6 8.3 15.9 11.6 29 42 153.4
35 26.5 31.6 18.3 23.7 11.5 8.6 16.8 12.2 22 50 160
35.6 25.8 32 16.2 25.7 11.5 9 17.2 11.8 25 49.8 147.2
36.2 27.4 29.5 14.6 23.9 11.2 9.6 16.7 12.6 23 49.2 168.2
39 28.4 34.9 19.6 26.7 13.4 11 18.9 13.6 37 73.2 175
32.6 25.6 30 15.3 22.6 10.3 8.1 16.2 11.6 19 47.8 157
37.6 30 33.9 19.1 28.8 13.4 10.5 19.2 13.2 23 68.8 167.6
36.3 27.5 31 15.4 24 11.1 9.4 16.4 12.3 25 50.6 159.5
38 29.6 32.7 21.3 28.7 13.7 10.6 21.5 14.4 26 82.5 175
37 27.9 30.8 15.1 26.8 13.2 8.9 18.1 12.3 24 57.2 166.8
42.6 31.8 34.8 19.9 30.4 12.5 11 21 14.2 29 87.8 176.5
37.5 29.2 35.1 19.6 27.5 13.1 10.2 20 13.1 22 72.8 170.2
36.1 28.2 32.3 15.8 25 12 10.2 18.4 12.9 30 54.5 174
39.1 27.5 34 17.2 25.6 12.6 10 18 12.7 23 59.8 173
39.6 28.6 31.2 18 27.2 12.4 10.1 19.3 13.8 38 67.3 179.9
40.5 29.6 34.9 17.4 27.5 12.6 10.4 18.8 13.1 23 67.8 170.5
35 26 29.8 16.1 22.3 12.4 9.5 17.2 12.3 19 47 160
34.5 26.4 30.1 18.6 23.5 11.3 8.9 17.2 12.3 46 46.2 154.4
35.6 27.9 32 15.6 23.9 11.9 9.6 18.2 12.7 20 55 162
39.1 29.7 33.7 20.1 29.5 13.2 10 20.3 13.6 22 83 176.5
36.6 28.2 32 14.3 26 11.8 9.9 18 12.7 25 54.4 160
34.8 26.3 29.9 16 22.9 11.3 9.2 16.5 11.8 21 45.8 152
36.7 22.1 28.3 16.7 27.5 12.3 10.1 16.8 12.4 23 53.6 162.1
39.7 31.6 34.5 19 24.9 12.7 10.4 18.2 13.1 31 73.2 170
35.5 24.3 29.5 15 26 11.5 9.4 17.2 12.1 29 52.1 160.2
36 28 30.8 17.3 25.9 12.9 9.8 17.8 13.8 19 67.9 161.3
35.8 26.4 32.2 17.3 24.9 12.7 10.4 18.9 14 21 56.6 166.4
37.6 27.3 32 18 25.6 12.4 9.4 18.8 13.6 23 62.3 168.9
37.6 28.7 30.8 19 25.2 13.1 11.5 18.6 13.6 24 58.5 163.8
34.9 28 30.8 15.6 24.2 11.2 9.2 17.9 13.2 20 54.5 167.6
33.3 24.9 27.8 17.3 23.3 12.8 9.8 17.4 12.9 19 50.2 160
36.2 27.1 29.9 16 24.2 11.8 9.2 17.3 12.6 20 60.3 161.3
33.3 29.2 32 14.8 25.9 12.6 10.4 18.4 13 19 58.3 167.6
36 25.2 30.8 16.5 24.2 12.6 9.2 17.6 13.2 20 56.2 165.1
34 27.3 29.9 17 24 12 9.2 16.8 12.4 19 50.2 160
36.2 28.7 31.3 19.2 27.1 12.8 10.5 18 14.4 22 72.9 170
34.9 27.1 31.5 19 24.9 12.4 9.8 18 13.8 39 59.8 157.5
37.4 28.3 31.3 16.3 25.6 12.9 11 18.4 14.3 18 61 167.6
33.8 28.7 32.2 18.7 25.4 12 8.9 17.4 13 19 69.1 160.7
34 27.3 32.2 19 24.2 12.9 10.6 17.9 13.4 26 55.9 163.2
34.4 23.5 26.8 16.5 24.4 11.7 9.2 16.8 12.4 20 46.5 152.4
34.7 27.8 32.6 16.5 24.2 12.6 9.8 17.6 12.6 20 54.3 157.5
35.6 26.4 32.2 15.1 26.6 13 10 17.6 13.8 26 54.8 168.3
33.8 29.7 32.4 17.3 25.4 13.4 9.6 18.4 13.4 21 60.7 180.3
37.8 26.6 33.1 16.5 27.1 12.4 9.8 18.3 13 21 60 165.5
38.3 30.4 32.2 18.7 26.4 12.4 9.4 18.1 12.7 38 62 165
40.3 29.2 32.9 16.5 26.4 13 9.4 18.6 12.9 23 60.3 164.5
38.9 27.5 31.1 15.6 26.8 12.4 10 18.4 13.6 37 52.7 156
39.4 29.2 34.7 18 28.3 13.4 10.5 19.8 13.1 19 74.3 160
35 27 33 19.3 25 11.5 9.9 17.1 13 25 62 163
40.7 29 35.3 17.7 28.5 13.8 10.8 19.8 14.3 20 73.1 165.7
39.6 30.4 34.2 21.4 26.8 14.2 10.6 20.7 13.1 41 80 161
36.9 28.3 32 17 25.6 10.9 9.4 17.3 12.6 26 54.7 162
35.6 25.7 29.1 15.5 26 11.5 9.5 17.8 12.1 21 53.2 166
38.2 30 35.5 19.4 26.7 12.6 10.8 19.5 13.6 47 75.7 174
36.9 29 33.7 15.6 27 11.5 10.2 18.4 13.8 19 61.1 172.7
